Name,San Francisco County,Alameda County,San Mateo County,Contra Costa County,Santa Clara County,County,Category,Black Owned,LGBTQ,Women,Who Applies,100 or fewer employees,500 or fewer employees,750 or fewer employees,750 or more,Type of Relief,Award Type,Award Amount Specified,Max Award Amount,Interest Rate Applicable,Interest rate,Type of Support,Public or Private,Type Entity Offering Support,Name of Entity,Is there a Deadline,Deadline,English,Spanish,Chinese,Website,Other Details,Date Added,Added By,Date Reviewed,Reviewed By,Review Notes
Economic Injury Disaster Loan (EIDL),Yes,Yes,Yes,Yes,Yes,All,Agriculture,No,No,No,Unknown,Yes,Yes,No,No,COVID,One-Time,Yes,"$2,000,000",Yes and Reported,0.0375,Loan,Public ,Government,Municipal Gov,Unknown,,Yes,No,No,https://www.sba.gov/page/disaster-loan-applications#section-header-0,800-659-2955,6/5/2020,Emily Kasa,6/10/20,Ravi Patel,
USA Small Business Administration,Yes,Yes,Yes,No,Yes,All,All,No,No,No,Unknown,Yes,Yes,No,No,COVID,One-Time,Yes,"$25,000",No,0,Loan ,Public ,Government,Federal Gov,Unknown,,Yes,No,No,https://www.sba.gov/funding-programs/loans/coronavirus-relief-options/sba-express-bridge-loans,"Enables small businesses who currently have a business relationship with an SBA Express Lender to access up to $25,000 quickly. See here https://www.sba.gov/document/support--express-bridge-loan-pilot-program-guide",6/5/2020,Emily Kasa,6/10/20,Ravi Patel,
Pandemic Unemployment Assistance (PUA),Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,,No,0,Insurance,Public ,Government,State Gov,Unknown,,Yes,Yes,Yes,https://www.edd.ca.gov/about_edd/coronavirus-2019/pandemic-unemployment-assistance.htm,,6/5/2020,Emily Kasa,6/10/20,Ravi Patel,
California Disaster Relief Loan Guarantee Program — COVID-19,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Unknown,Unknown,Yes,No,COVID,One-Time,No,,Yes but not Reported,,Loan,Public,Government,State Gov,Unknown,,Yes,Yes,No,https://www.ibank.ca.gov/small-business-finance-center/,,6/5/2020,Emily Kasa,06/10/20,Ravi Patel,
COVID-19: A Just East Bay Response Fund,No,Yes,No,Yes,No,Some,All,No,No,No,Non-Profits Only,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,,No,0,Grant,Private,Non-Profit,East Bay Community Foundation,Unknown,,Yes,No,No,https://www.ebcf.org/covid-19-fund-faq/,Contact at grantmaking@eastbaycf.org to apply,6/5/2020,Emily Kasa,6/10/20,Ravi Patel,
Business For All,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,"$50,000",No,0,Grant,Private,Non-Profit,Business For All,Yes,9/25/2019,Yes,No,No,https://businessforall.helloalice.com,,6/5/2020,Emily Kasa,6/22/2020,Dee Jomo,
Oakland Repair Fund,No,Yes,No,Unknown,No,Some,Multiple,Yes,No,No,Unknown,Yes,No,No,No,Protest Damage,One-Time,Yes,$600,No,,Grant,Private,Non-Profit,Oakland Indie Alliance,Unknown,,Yes,No,No,http://www.oaklandindiealliance.com/repair-apply,,6/7/2020,Emily Kasa,6/22/2020,Dee Jomo,
Small Business Assistance Grant Program - City of Santa Clara,No,No,No,No,Yes,Some,All,No,No,No,All,Yes,No,No,No,COVID,One-Time,Yes,"$10,000",Unknown,,Grant,Public,Government,City of Santa Clara,Unknown,,Yes,Yes,Yes,https://www.santaclaraca.gov/i-want-to/stay-informed/newsroom/coronavirus-updates/covid-19-business-resources/small-business-assistance-grant-program,"Initial grant money has all been awarded, but a GoFundMe has been started to raise additional funds: https://www.gofundme.com/f/santa-clara-small-business-assistance-fund?utm_medium=copy_link&utm_source=customer&utm_campaign=p_lico+share-sheet",6/10/2020,Julie Wiederhold,6/24/2020,Seth Puckett,
Berkeley Relief Fund,No,Yes,No,No,No,Some,All,No,No,No,All,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,"$10,000",No,0,Grant,Public,Government,Berkeley City Council,Unknown,,Yes,No,No,https://berkeleyrelieffund.org/,,6/10/2020,Arnav Khanna,6/22/2020,Dee Jomo,
Silicon Valley Small Business Relief Fund,Yes,Yes,Yes,Yes,Yes,Some,All,No,No,No,All,Yes,Unknown,Unknown,Unknown,COVID,One-Time,No,,Unknown,,Grant,Private,Non-Profit,Silcon Valley Community Foundation,No,,Yes,Unknown,Unknown,https://www.siliconvalleycf.org/small-business-relief-fund,Loans also available,6/10/2020,Dee Jomo,6/24/2020,Seth Puckett,
Kiva Small Business Loans,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Yes,Unknown,Unknown,Unknown,COVID,One-Time,No,,Yes but not Reported,,Loan,Private,Non-Profit,Kiva,No,,Yes,Yes,Unknown,https://www.kiva.org/,,6/10/2020,Julie Wiederhold,6/22/2020,Dee Jomo,
Bay Area Black Owned Business Relief Fund,Yes,Yes,Yes,Yes,Yes,All,All,Yes,No,No,All,Unknown,Unknown,Unknown,Unknown,Protest Damage,One-Time,No,,No,,Grant,Private,GoFund Me,Bay Area Black Owned Business Relief Fund,Unknown,,Yes,No,No,https://docs.google.com/forms/d/e/1FAIpQLSdXQmSNSHzPTuuffzgOvWPGRCt4dmEHHQJQSn2mCr-DjzDq_Q/viewform,https://www.gofundme.com/f/bay-area-black-owned-business-relief-fund,6/10/2020,Emily Kasa,6/25/2020,Seth Puckett,
LGBTQ COVID-19 Response Emergency Fund,Yes,Yes,Yes,Yes,Yes,All,All,No,Yes,No,Non-Profits Only,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$20,000",No,,Grant,Private,Non-Profit,Horizons,Unknown,,Yes,Unknown,Unknown,https://www.horizonsfoundation.org/covid19/,https://www.horizonsfoundation.org/emergency-grants-bay-area-lgbtq-organizations-total-over-640000/,6/10/2020,Emily Kasa,6/24/2020,Seth Puckett,
Opportunity Fund Working Capital Loans,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Yes,Unknown,Unknown,Unknown,Both,One-Time,Yes,"$250,000",Yes but not Reported,,Loan,Private,Non-Profit,Opportunity Fund,No,,Yes,Yes,Unknown,https://www.opportunityfund.org/get-a-loan/,,6/10/2020,Jonah Bleckner,6/30/2020,Seth Puckett,
Verizon Small Business Recovery Fund,Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Yes,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$10,000",No,,Grant,Private,Non-Profit,LISC & Verizon,No,,Yes,Yes,Unknown,https://www.lisc.org/covid-19/small-business-assistance/small-business-relief-grants/verizon-small-business-recovery-fund/,,6/10/2020,Jonah Bleckner,6/30/2020,Seth Puckett,
"GoFundMe.org Small Buisness Relief Fund - Redwood City, CA",Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Yes,Yes,Yes,Unknown,Both,One-Time,No,$500,No,,Grant,Private,GoFund Me,GoFundMe.org,No,,Yes,Yes,Yes,https://www.gofundme.com/f/smallbusinessrelieffund,,6/10/2020,Megan Gentes,7/15,Marshall Fisher,
Redwood City Small Business Relief Fund,No,No,Yes,No,No,Some,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Both,One-Time,No,,No,,Grant,Private,Private,Brett Weber,No,,Yes,Yes,Yes,https://www.gofundme.com/f/redwood-city-small-business-relief-fund,,6/10/2020,Megan Gentes,7/15/2020,Marshall Fisher,
"
Norcal Small Business Relief Fund",Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Protest Damage,One-Time,No,,No,,Grant,Private,Private,"Team Fundraiser: Jane Thomas, Destiny Thomas, Jennifer Louie, Christian Thomas Trent Thomas, Michaela Thomas ",No,,Yes,Unknown,Unknown,https://www.gofundme.com/f/norcal-small-business-relief-fund,,6/10/2020,Megan Gentes,7/15/2020,Marshall Fisher,
Berkeley Business Continuity Grants,No,Yes,No,No,No,Some,All,,,No,Unknown,Yes,No,No,No,COVID,One-Time,Yes,"$10,000",No,,Grant,Public,Government,City of Berkeley,,,Yes,No,No,https://www.cityofberkeley.info/covid19-business-grants/,Potential second round,6/10/2020,Marshall Fisher,,,
Hello Alice,Yes,Yes,Yes,Yes,Yes,All,Hospitality,No,No,No,Unknown,Yes,Yes,Unknown,Yes,COVID,One-Time,Yes,"$10,000",No,,Grant,Private,Private,Hello Alice,No,,Yes,Unknown,Unknown,https://www.covid19businesscenter.com/,,6/10/2020,Marshall Fisher,,,
Oakland Relief Fund,No,Yes,No,No,No,Some,All,,,No,Non-Profit Only,Yes,Yes,Yes,Yes,COVID,One-Time,No,,No,,Grant,Private,Non-Profit,Oakland Fund for Public Innovation,No,,Yes,Unknown,Unknown,https://www.oaklandfund.org/covid-19-relief-fund/,,6/10/2020,Marshall Fisher,,,
COVID-19 Emergency Loan for Arts & Culture Nonprofits,Yes,Yes,Yes,Yes,Yes,All,Multiple,No,No,No,Non-Profits Only,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$50,000",Yes and Reported,0.025,Loan,Private,Non-Profit,NCG,Unknown,,Yes,No,No,https://www.artsloanfund.org/covid-19-emergency,"Arts and culture organizations that maintain an active teaching, presenting, exhibiting, producing, or archiving practice or that provide vital services to artists and cultural organizations.",,Emily Kasa,7/15/2020,Marshall Fisher,
Emergency Relief Program,Yes,Yes,Yes,Yes,Yes,All,Hospitality,No,No,No,Businesses Only,Unknown,Unknown,Unknown,Unknown,Both,One-Time,No,,No,,Grant,Private,Non-Profit,Southern Smoke,Unknown,,Yes,Yes,No,https://form.southernsmoke.org/smoke/application/,Our Emergency Relief Program provides emergency funding to those employed by or own restaurants or bars or are employed by a restaurant or bar supplier that are faced unforeseen expenses that cannot or will not be covered by insurance.,6/17/2020,Emily kasa,7/15/2020,Marshall Fisher,Employees and owners can apply
One Fair Wage Emergency Fund,,,,Unknown,Unknown,Unknown,Hospitality,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,,No,,Grant,Private,Non-Profit,One Fair Wage,Unknown,,Yes,Yes,No,https://rocunited.org/stop-the-spread/coronavirus-support/,,6/17/2020,Emily Kasa,7/15/2020,Marshall Fisher,Link looks like a compilation of resources
SoOakland,No,Yes,No,No,No,Some,All,Yes,No,No,Businesses Only,Unknown,Unknown,Unknown,Unknown,Both,One-Time,Yes,"$2,000",No,,Grant,Private,Non-Profit,SoOakland,Unknown,,Yes,No,No,http://www.sooakland.com/sooakland-foundation,,6/17/2020,Emily Kasa,7/15/2020,Marshall Fisher,Business must be based in Oakland
Alameda County Small Business Development Center,No,Yes,No,No,No,Some,All,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Both,Recurring,No,,Yes but not Reported,,Loan,Public,Government,,No,,Yes,Yes,Yes,https://www.acsbdc.org/services/need-money-alameda-sbdc,,,,,,
California Capital Access Program (CalCAP),Yes,Yes,Yes,Yes,Yes,All,All,No,No,No,All,Unknown,Unknown,Unknown,Unknown,Both,Recurring,No,,Yes but not Reported,,Loan,Public,Government,California State treasurer,No,,Yes,Unknown,Unknown,https://www.treasurer.ca.gov/cpcfa/calcap/sb/index.asp,,,,,,
Shea Moisture Fund,Yes,Yes,Yes,Yes,Yes,All,Multiple,Yes,No,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Both,One-Time,No,,No,,Grant,Private,Non-Profit,Shea Moisture,No,,Yes,Unknown,Unknown,https://www.sheamoisturefund.com/about-1,,6/17/2020,Dee Jomo,7/15/2020,Marshall Fisher,
IFW COVID-19 Relief Fund,Yes,Yes,Yes,Yes,Yes,All,Multiple,Yes,No,Yes,Unknown,Yes,Unknown,Unknown,Unknown,COVID,One-Time,No,,No,,Grant,Private,Non-Profit,iFundWomen,,,Yes,Unknown,Unknown,https://ifundwomen.com/covid-19,,6/17/2020,Dee Jomo,,,
Verizon Small Business Recovery Fund,Yes,Yes,Yes,Yes,Yes,All,Multiple,Yes,Yes,No,Unknown,Yes,Unknown,Unknown,Unknown,COVID,One-Time,No,"$10,000",Unknown,,Grant,Private,Private,Verizon,Unknown,,Yes,Yes,Unknown,https://www.verizon.com/pay-it-forward-live/?CMP=OLA_SMB_OTH_22222_NA_20200325_NA_NM20200057_00001,https://www.lisc.org/covid-19/small-business-assistance/small-business-relief-grants/verizon-small-business-recovery-fund/,6/17/2020,Dee Jomo,,,
South Asian Resilence Fund,Yes,Yes,Yes,Yes,Yes,All,Entertainment,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,COVID,One-Time,No,"$1,000",No,,Grant,Private,Non-Profit,Indian Center Foundation,Unknown,,Yes,No,No,https://indiacenter.formstack.com/forms/artsfund,,6/17/2020,Dee Jomo,,,
The your Friends in New York Business Relief Fund,Yes,Yes,Yes,Yes,Yes,Unknown,Multiple,Yes,Yes,No,Unknown,Yes,Unknown,Unknown,Unknown,COVID,One-Time,No,"$5,000",No,,Grant,Private,Non-Profit,Pyer Moss,Unknown,,Yes,Yes,Yes,http://yourfriendsin.nyc/survey.html,,6/17/2020,Dee Jomo,,,
The Doonie Fund,Yes,Yes,Yes,Yes,Yes,All,Multiple,Yes,No,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Both,Recurring,No,,No,,Grant,Private,Non-Profit,Digitalundivided,Unknown,,Yes,Yes,No,https://www.digitalundivided.com/the-doonie-fund,Black and Latinx only,6/17/2020,Dee Jomo,,,
The Red Backpack Fund,Yes,Yes,Yes,Yes,Yes,All,Multiple,Yes,No,Yes,Unknown,Yes,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$5,000",No,,Grant,Private,Non-Profit,,Yes,8/31/2020,Yes,Yes,Yes,https://www.globalgiving.org/redbackpackfund/,,6/17/2020,Dee Jomo,,,
Bay Area Organization of Black Owned Businesses (BAOBOB),Yes,Yes,Yes,Yes,Yes,All,All,Yes,Yes,No,All,Yes,Yes,Yes,Yes,Both,Recurring,No,,Unknown,,Grant,Private,Private,BAOBOB,Unknown,,Yes,No,No,https://baobobdirectory.com/,Directory,6/17/2020,Charles Beta,,,
SBA 8(a) Program,Yes,Yes,Yes,Yes,Yes,All,All,Yes,Yes,No,Businesses Only,Yes,No,No,No,Both,Recurring,No,,No,,Grant,Public,Government,U.S. Small Business Association (SBA),Yes,,Yes,No,No,https://www.sba.gov/federal-contracting/contracting-assistance-programs/8a-business-development-program,,6/17/2020,Charles Beta,,,
California Infrastructure Bank (IBank),Yes,Yes,Yes,Yes,Yes,All,Multiple,No,No,No,All,Yes,Yes,Yes,No,COVID,One-Time,No,,Yes but not Reported,,Loan,Public,Government,State of California,Unknown,,Yes,Yes,No,https://www.ibank.ca.gov/,,6/17/2020,Charles Beta,,,
African American Small Business Revolving Loan Fund,Yes,No,No,No,No,Some,All,Yes,No,No,All,Yes,Unknown,Unknown,Unknown,COVID,One-Time,Yes,"$50,000",Yes and Reported,0,Loan,Private,Non-Profit,Give2SF,Unknown,,Yes,Yes,Yes,https://oewd.org/businesses-impacted-covid-19#AA%20Revolving%20Loan%20Fund,More info: https://www.sfchronicle.com/business/article/SF-creates-coronavirus-loan-fund-for-black-owned-15350767.php,6/24/2020,Seth Puckett,,,
Oakland Black Damage Fund,No,Yes,No,No,No,Some,All,Yes,No,No,Businesses Only,Unknown,Unknown,Unknown,Unknown,Protest Damage,One-Time,Yes,"$5,000",No,,Grant,Private,GoFund Me,Oakland Black Damage Fund,Unknown,,Yes,No,No,https://docs.google.com/forms/d/e/1FAIpQLSdq6Dq18QjWd0desNEjjpnNyz8EWP5dJ3ytTK4EJ5SJBO3fuw/viewform?mc_cid=ab80a0f88e&mc_eid=539c76a5b8,Black businesses,6/24/2020,Emily Kasa,,,
